,round,newround.time,choice.time,buttonpress.time,conf.time,reveal.time,choice.location,choice.class,outcome,subject,bad_trial,Safe.Bet.Amount,Risky.Bet.Amount,Risky.bet.shown.number,Risky.bet.hidden.number,Risky.Side
0,1,6.1909999639999995,6.956999996,8.003,8.019000032000001,8.535000065,Left,Gamble,Win,1,0,10,30,1,5,Left
1,2,9.549999931,10.31599996,11.44099996,11.457,11.972000099999999,Left,Gamble,Win,1,0,10,20,4,5,Left
2,3,12.987999900000002,13.753,14.832,14.847000099999999,15.362999900000002,Left,Safebet,WouldHaveWon,1,0,10,25,7,8,Right
3,4,16.378,17.14400003,18.14400003,18.17499993,18.69099996,Left,Gamble,Win,1,0,10,30,1,4,Left
4,5,19.707,20.472000100000002,21.51900003,21.54999993,22.06599996,Right,Safebet,WouldHaveLost,1,0,10,25,6,1,Left
5,6,23.081999999999997,23.847000100000002,25.14400003,25.17499993,25.69099996,Right,Gamble,Win,1,0,10,30,1,7,Right
6,7,26.706999999999997,27.4720001,28.753,28.76900003,29.28500006,Right,Gamble,Win,1,0,10,25,2,5,Right
7,8,30.29999993,31.06599996,32.56599996,32.5970001,33.1129999,Right,Safebet,WouldHaveLost,1,0,10,20,7,2,Left
8,9,34.128,34.89400003,36.66000006,36.67499993,37.19099996,Left,Safebet,WouldHaveLost,1,0,10,25,9,6,Right
9,10,38.207,38.9720001,39.78500006,39.79999993,40.31599996,Left,Gamble,Win,1,0,10,30,3,8,Left
14,15,56.89400003,57.66000006,59.04999993,59.06599996,59.582,Right,Safebet,WouldHaveLost,1,0,10,15,4,3,Left
16,17,64.91000006,65.67499993,66.51900003,66.53500006,67.04999993,Left,Gamble,Loss,1,0,10,20,4,1,Left
17,18,68.06599996,68.832,70.253,70.26900003,70.78500006,Left,Safebet,WouldHaveLost,1,0,10,20,8,7,Right
18,19,71.79999993,72.56599996,73.59700009999999,73.6129999,74.128,Right,Gamble,Loss,1,0,10,20,6,2,Right
19,20,75.14400003,75.91000006,77.128,77.14400003,77.67499993,Right,Gamble,Win,1,0,10,15,2,9,Right
20,21,78.69099996,79.457,80.22200009999999,80.253,80.76900003,Left,Gamble,Win,1,0,10,15,2,8,Left
21,22,81.78500006,82.54999993,83.59700009999999,83.62799999999999,84.14400003,Left,Gamble,Win,1,0,10,20,0,2,Left
22,23,85.16000006,85.92499993,86.97200009999999,86.9879999,87.50299999999999,Left,Safebet,WouldHaveLost,1,0,10,25,10,5,Right
23,24,88.51900003,89.28500007,90.69099996,90.70700000000001,91.22200009999999,Right,Safebet,WouldHaveWon,1,0,10,30,2,4,Left
24,25,92.2379999,93.00299999999999,94.50299999999999,94.51900003,95.04999993,Right,Gamble,Loss,1,0,10,20,5,3,Right
25,26,96.06599996,96.83200000000001,97.72200009999999,97.7379999,98.25299999999999,Left,Safebet,WouldHaveWon,1,0,10,15,8,9,Right
26,27,99.26900003,100.03500009999999,101.566,101.58200000000001,102.1129999,Left,Gamble,Loss,1,0,10,25,8,2,Left
27,28,103.12799999999999,103.89399999999999,105.08200000000001,105.09700009999999,105.6129999,Left,Safebet,WouldHaveWon,1,0,10,25,7,9,Right
28,29,106.62799999999999,107.39399999999999,109.191,109.20700000000001,109.7379999,Left,Safebet,WouldHaveLost,1,0,10,15,10,2,Right
29,30,110.75299999999999,111.51899999999999,112.566,112.58200000000001,113.1129999,Right,Gamble,Loss,1,0,10,20,1,0,Right
30,31,114.12799999999999,114.89399999999999,116.39399999999999,116.41000009999999,116.9249999,Right,Gamble,Loss,1,0,10,15,6,1,Right
31,32,117.941,118.70700000000001,120.64399999999999,120.66000009999999,121.1749999,Right,Gamble,Win,1,0,10,15,5,6,Right
32,33,122.191,122.95700000000001,124.75299999999999,124.76899999999999,125.28500009999999,Right,Safebet,WouldHaveLost,1,0,10,25,9,7,Left
33,34,126.2999999,127.066,128.7379999,128.753,129.269,Left,Safebet,WouldHaveLost,1,0,10,25,9,7,Right
34,35,130.2850001,131.04999990000002,132.2220001,132.2379999,132.753,Left,Gamble,Loss,1,0,10,20,5,2,Left
35,36,133.769,134.5350001,135.92499990000002,135.941,136.4720001,Left,Safebet,WouldHaveWon,1,0,10,25,2,7,Right
37,38,141.0350001,141.79999990000002,143.316,143.332,143.8470001,Right,Gamble,Win,1,0,10,15,4,9,Right
38,39,144.8629999,145.628,146.644,146.67499990000002,147.191,Right,Gamble,Win,1,0,10,20,4,5,Right
40,41,151.7220001,152.4879999,153.832,153.8470001,154.378,Right,Safebet,WouldHaveLost,1,0,10,25,5,0,Left
